Timestamp,Gyr.X,Gyr.Y,Gyr.Z,Axl.X,Axl.Y,Axl.Z,Mag.X,Mag.Y,Mag.Z,Temp,Hum
1740564257350,3.57875,5.53,-3.9025,-645.502,-655.75,399.672,195.5568,-169.2487,-345.9514,24.06223,21.21861
1740564257352,3.7625,5.6,-3.92,-635.62,-657.336,405.04,189.126,-166.0333,-360.1286,24.06223,21.21861
1740564257353,3.815,5.81,-3.8325,-630.374,-656.726,401.258,197.0184,-165.1564,-354.4285,24.06223,21.21861
1740564257354,3.99,5.9325,-3.9725,-618.296,-659.288,399.062,190.8799,-174.8027,-357.0593,24.06223,21.21861
1740564257355,4.2525,6.335,-3.77125,-609.512,-657.214,400.77,201.9877,-171.2949,-355.1593,24.06223,21.21861
1740564257356,4.36625,6.58,-3.92875,-601.704,-663.802,399.916,198.7723,-169.5411,-354.7208,24.06223,21.21861
1740564257358,4.61125,6.79875,-3.9725,-595.848,-665.144,403.21,192.6337,-170.7103,-351.6516,24.06223,21.21861
1740564257359,4.85625,6.86875,-3.885,-597.19,-663.314,401.746,193.2184,-172.1719,-348.7284,24.06223,21.21861
1740564257360,5.075,7.16625,-3.955,-595.238,-665.022,403.088,199.3569,-169.8334,-343.3206,24.06223,21.21861
1740564257361,5.425,7.37625,-3.77125,-601.094,-671.0,402.356,193.2184,-162.8179,-347.9977,24.06223,21.21861
1740564257363,5.5475,7.385,-3.71,-604.632,-668.194,402.234,197.603,-175.6796,-336.8898,24.06223,21.21861
1740564257364,5.81875,7.5425,-3.5525,-609.878,-667.218,403.576,193.803,-165.4487,-333.2359,24.06223,21.21861
1740564257365,6.18625,7.595,-3.43,-620.736,-661.606,409.188,194.6799,-170.418,-347.5592,24.06223,21.21861
1740564257367,6.32625,7.55125,-3.24625,-630.984,-660.63,407.48,196.7261,-174.8027,-347.9977,24.06223,21.21861
1740564257368,6.4925,7.49,-3.01875,-635.986,-656.238,405.284,192.6337,-171.0026,-333.5282,24.06223,21.21861
1740564257369,6.44,7.2275,-3.08875,-639.036,-654.652,410.53,194.6799,-173.9258,-347.7053,24.06223,21.21861
1740564257370,6.50125,7.06125,-2.93125,-645.624,-650.504,409.676,196.7261,-172.1719,-335.5744,24.06223,21.21861
1740564257372,6.58,6.685,-2.89625,-645.746,-647.454,414.19,192.926,-171.5872,-332.7974,24.06223,21.21861
1740564257373,6.58,6.405,-2.93125,-640.5,-642.452,416.996,193.803,-167.4949,-339.5206,24.06223,21.21861
1740564257374,6.615,5.95,-3.255,-641.11,-646.844,419.314,191.7568,-166.9102,-350.4823,24.06223,21.21861
1740564257375,6.32625,5.55625,-3.22,-642.696,-645.38,423.218,195.2645,-174.2181,-347.1207,24.06223,21.21861
1740564257376,6.5975,5.22375,-3.08875,-639.768,-645.624,422.974,192.926,-177.7258,-344.1976,24.06223,21.21861
1740564257378,6.55375,4.80375,-3.115,-644.282,-647.942,427.854,190.0029,-166.0333,-347.8515,24.06223,21.21861
1740564257379,6.48375,4.50625,-3.10625,-643.916,-646.234,429.44,192.3414,-167.2026,-335.2821,24.06223,21.21861
1740564257380,6.265,4.2525,-3.15,-636.474,-647.454,426.39,194.9722,-171.8796,-332.0666,24.06223,21.21861
